OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
34387,d02dbc49-15d8-42b5-9dbe-09e6e4f152b1,,,Nigeria,NGA,Ebonyi,Ebonyi,0,Echi Aba,0,Victory Specialist Hospital and Maternity,GRID3_EHEALTH,Unknown,Unknown,Tertiary,Primary Health Clinic,6.333312988,8.079284668,GRID3_EHEALTH,2024-11-11,8.07928466800007,6.33331298800005
34389,eb6844d7-3afe-4138-9e16-0ff8ff8f79b2,,,Nigeria,NGA,Ebonyi,Ebonyi,0,Kpiri-Kpiri,0,Assumpta Specialist Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.328674316,8.104492187,GRID3_EHEALTH,2024-11-11,8.10449218700006,6.32867431600005
34458,257c056d-6bd4-4834-9523-795f8e6ff316,,,Nigeria,NGA,Yobe,Damaturu,0,Nayinanawa,0,Damaturu Specialist Hospital,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,11.7298201425,11.9562833911,GRID3_EHEALTH,2024-11-11,11.9562833910001,11.7298201420001
34486,56a50e6d-a2a4-4628-88d3-85562e7e7bec,,,Nigeria,NGA,Anambra,Aguata,0,Ekwuluobia 2,0,Chiamaka Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.023315429,7.083312988,GRID3_EHEALTH,2024-11-11,7.08331298800005,6.02331542900004
34494,25d86a64-eea7-4ce4-978b-10171f3f75e3,,,Nigeria,NGA,Anambra,Idemili South,0,Ojoto,0,Uzondu Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.054077148,6.860473633,GRID3_EHEALTH,2024-11-11,6.86047363300003,6.05407714800003
34496,6de4163d-e8d1-4a18-a449-36e2965d213c,,,Nigeria,NGA,Anambra,Nnewi North,0,Umudim Ward 2,0,Okonkowo Omega Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.016296387,6.914123535,GRID3_EHEALTH,2024-11-11,6.91412353500004,6.01629638700007
34499,f8e1c91e-af52-4c81-9c24-da6cad63fa9e,,,Nigeria,NGA,Anambra,Nnewi North,0,Umudim Ward 2,0,Myles Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.011901855,6.912902832,GRID3_EHEALTH,2024-11-11,6.91290283200004,6.01190185500008
34500,c0ff7979-0a31-42f8-8dd3-4fd7f13f2731,,,Nigeria,NGA,Anambra,Nnewi North,0,Umudim Ward 2,0,Chicason Mannyo Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.997070313,6.92211914,GRID3_EHEALTH,2024-11-11,6.92211914000006,5.99707031300005
34507,53e4b911-8eb4-43d9-a8e7-7440dacca0bb,,,Nigeria,NGA,Anambra,Nnewi South,0,Ukpor Ward 1,0,Lycopodium Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.971679688,6.88671875,GRID3_EHEALTH,2024-11-11,6.88671875000006,5.97167968800005
34515,221fa727-a566-434f-89a2-fe2f6f871231,,,Nigeria,NGA,Anambra,Idemili North,0,Nkpor,0,First Choice Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.155517579,6.835083008,GRID3_EHEALTH,2024-11-11,6.83508300800003,6.15551757900005
34548,7a70f61a-8fa7-4da6-bf16-47e9372def04,,,Nigeria,NGA,Oyo,Ibadan South West,0,Challenge / Ring Road,0,Odunkakin Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.354125977,3.877075195,GRID3_EHEALTH,2024-11-11,3.87707519500003,7.35412597700002
34552,b413526c-ba1b-43a1-a5ed-1c9cb42ec3ff,,,Nigeria,NGA,Oyo,Ibadan South West,0,Challenge / Ring Road,0,Bams Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.35913086,3.879882813,GRID3_EHEALTH,2024-11-11,3.87988281300005,7.35913086000005
34556,a08aac47-2a4f-4acb-a0ec-ba3f86a9329c,,,Nigeria,NGA,Oyo,Ibadan North East,0,Aperin,0,Motilayo Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.362121582,3.929504394,GRID3_EHEALTH,2024-11-11,3.92950439400005,7.36212158200004
34573,3b59da6f-8730-4f96-9aad-f8740a823c7a,,,Nigeria,NGA,Oyo,Saki West,0,Iya,0,Teju Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,8.67767334,3.395874023,GRID3_EHEALTH,2024-11-11,3.39587402300003,8.67767334000007
34581,b78ff5e0-fceb-43b7-823a-1dafb006caab,,,Nigeria,NGA,Osun,Egbedore,0,Olorunsogo / Ofatedo / Okini,0,Hamstring Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.785095214,4.525085449,GRID3_EHEALTH,2024-11-11,4.52508544900007,7.78509521400002
34623,aa0638ba-d831-44f3-af2f-3e3323eb970b,,,Nigeria,NGA,Imo,Owerri Municipal,0,New Owerri 2,0,Olivia Specialist Hospital,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,5.470092774,7.016723633,GRID3_EHEALTH,2024-11-11,7.01672363300003,5.47009277400002
34927,e0f98501-096c-4438-89ba-c203adf2e71b,,,Nigeria,NGA,Enugu,Enugu North,0,Gra East / West /  G.R.A,0,Material Health Specialist and Fertility,GRID3_EHEALTH,Private,Unknown,Tertiary,General Hospital,6.46575833333,7.50298166667,GRID3_EHEALTH,2024-11-11,7.50298166700003,6.46575833300005
34968,dedd4f2d-6c78-43c6-8fda-8931802dff09,,,Nigeria,NGA,Lagos,Mushin,0,Ilupeju,0,Elyon Eye Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,6.547302246,3.364074707,GRID3_EHEALTH,2024-11-11,3.36407470700004,6.54730224600007
35060,5b6aecfc-a8ca-471c-8df0-9d18ef334548,,,Nigeria,NGA,Anambra,Idemili North,0,Umuoji,0,Uke Federal Medical Center,GRID3_EHEALTH,Unknown,Unknown,Secondary,Unknown,6.121276856,6.914916993,GRID3_EHEALTH,2024-11-11,6.91491699300008,6.12127685600007
35072,44e3a1df-d0db-458e-b00e-e4dea610f2b3,,,Nigeria,NGA,Bayelsa,Yenagoa,0,Atissa 1 1,0,Ovom Federal Medical Center,GRID3_EHEALTH,Unknown,Unknown,Secondary,Unknown,4.936075241,6.265993187,GRID3_EHEALTH,2024-11-11,6.26599318700005,4.93607524100003
35101,1dc00a5b-5ec5-4a5a-92dc-1b7d22e86276,,,Nigeria,NGA,Oyo,Ibadan North,0,Agodi,0,National Blood Transfusion Service,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.398498535,3.910095215,GRID3_EHEALTH,2024-11-11,3.91009521500007,7.39849853500004
35104,262b18ae-5224-40dd-8aae-89faebb44311,,,Nigeria,NGA,Oyo,Ibadan South West,0,Oke Ado / Liberty,0,Omowumi Eye Clinic,GRID3_EHEALTH,Unknown,Unknown,Tertiary,General Hospital,7.370300293,3.88269043,GRID3_EHEALTH,2024-11-11,3.88269043000003,7.37030029300007
